,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,388,496,382,448,512,647,479,533,554,782,568,644,691
Expenses +,345,402,349,394,450,541,430,473,483,690,503,576,615
Operating Profit,43,95,33,53,62,106,49,60,71,92,64,68,75
OPM %,11%,19%,9%,12%,12%,16%,10%,11%,13%,12%,11%,11%,11%
Other Income +,6,21,15,8,13,6,9,11,9,17,11,15,9
Interest,2,2,2,2,2,2,2,4,3,3,3,4,3
Depreciation,7,7,7,7,7,7,8,8,10,10,10,11,11
Profit before tax,39,106,39,52,65,102,48,59,67,95,62,68,70
Tax %,28%,22%,30%,26%,27%,21%,30%,28%,30%,24%,28%,26%,29%
Net Profit +,28,83,27,39,48,81,33,42,47,72,45,51,50
EPS in Rs,1.94,5.66,1.91,2.66,3.28,5.57,2.27,2.90,3.24,4.96,3.07,3.47,3.31
Raw PDF,,,,,,,,,,,,,
