,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,649,716,885,680,748
Expenses +,466,502,688,594,656
Operating Profit,183,214,197,87,92
OPM %,28%,30%,22%,13%,12%
Other Income +,6,13,13,15,15
Interest,3,7,7,4,5
Depreciation,6,9,11,15,17
Profit before tax,180,212,192,82,85
Tax %,25%,25%,25%,27%,
Net Profit +,135,158,143,60,63
EPS in Rs,12.03,13.72,12.44,5.22,5.43
Dividend Payout %,3%,5%,6%,14%,
