,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,544.52,620.03,589.89,506.05,540.12,602.04,595.64,566.46,607.13,596.55,532.19,461.41,542.82
Expenses +,476.08,501.47,494.84,458.47,503.04,532.90,502.76,496.97,541.67,507.66,454.15,423.95,509.54
Operating Profit,68.44,118.56,95.05,47.58,37.08,69.14,92.88,69.49,65.46,88.89,78.04,37.46,33.28
OPM %,12.57%,19.12%,16.11%,9.40%,6.87%,11.48%,15.59%,12.27%,10.78%,14.90%,14.66%,8.12%,6.13%
Other Income +,12.29,12.41,10.26,11.01,10.55,13.47,13.38,14.26,13.08,13.80,12.13,12.77,9.36
Interest,9.88,5.17,8.00,20.66,10.89,6.51,9.14,8.59,8.49,8.54,8.56,8.53,7.15
Depreciation,28.32,27.96,28.00,28.13,28.74,27.44,27.00,26.91,27.42,28.34,28.14,26.47,27.94
Profit before tax,42.53,97.84,69.31,9.80,8.00,48.66,70.12,48.25,42.63,65.81,53.47,15.23,7.55
Tax %,28.43%,4.32%,25.54%,28.47%,30.25%,28.13%,25.39%,25.80%,26.18%,26.82%,25.38%,26.40%,31.26%
Net Profit +,30.44,93.61,51.61,7.01,5.58,34.97,52.32,35.80,31.47,48.16,39.90,11.21,5.19
EPS in Rs,1.34,4.13,2.28,0.31,0.25,1.54,2.31,1.58,1.39,2.13,1.76,0.49,0.23
Raw PDF,,,,,,,,,,,,,
