,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,953,900,"1,067","1,118",999,"1,010","1,086","1,101","1,161","1,090","1,269","1,219","1,270"
Expenses +,926,911,"1,033","1,049",969,984,"1,055","1,038","1,103","1,048","1,190","1,154","1,186"
Operating Profit,27,-10,35,70,30,26,30,63,58,42,79,66,83
OPM %,3%,-1%,3%,6%,3%,3%,3%,6%,5%,4%,6%,5%,7%
Other Income +,5,4,4,5,4,9,8,6,7,11,7,13,4
Interest,8,8,7,7,7,8,7,7,7,7,5,4,8
Depreciation,29,29,29,29,30,34,30,30,32,32,30,31,38
Profit before tax,-5,-43,3,38,-3,-6,1,31,26,15,51,43,42
Tax %,-40%,-35%,39%,37%,-66%,72%,211%,31%,34%,19%,27%,27%,26%
Net Profit +,-3,-28,2,24,-1,-10,-1,22,17,12,38,31,31
EPS in Rs,-0.79,-6.98,0.47,5.95,-0.28,-2.45,-0.15,5.31,4.31,2.96,9.26,7.75,7.67
Raw PDF,,,,,,,,,,,,,
