,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,543,592,602,600,645,875,928,987,923,943,879,867,"1,011"
Expenses +,437,452,486,500,553,828,795,839,806,795,725,760,886
Operating Profit,106,139,116,101,92,47,133,148,117,148,154,107,125
OPM %,20%,24%,19%,17%,14%,5%,14%,15%,13%,16%,18%,12%,12%
Other Income +,3,0,4,4,4,-654,3,3,1,-322,3,15,7
Interest,1,-0,-0,-2,7,34,26,9,16,13,11,10,13
Depreciation,9,9,9,9,10,42,46,44,48,44,48,50,55
Profit before tax,100,131,111,97,79,-683,64,98,54,-231,98,62,64
Tax %,24%,24%,26%,26%,26%,-1%,26%,27%,27%,12%,26%,26%,26%
Net Profit +,76,100,82,72,59,-679,47,72,39,-258,73,46,48
EPS in Rs,4.73,6.20,5.12,4.49,3.64,-36.11,2.26,3.45,1.91,-12.49,3.53,2.22,2.30
Raw PDF,,,,,,,,,,,,,
