,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,435,549,512,620,579,608,618,644,632,743,766,816,887
Expenses +,401,492,469,560,524,559,567,589,573,677,708,755,817
Operating Profit,34,57,43,60,56,49,51,55,58,66,58,61,70
OPM %,8%,10%,8%,10%,10%,8%,8%,9%,9%,9%,8%,8%,8%
Other Income +,-4,-1,9,15,13,14,14,15,13,28,31,21,18
Interest,5,5,6,7,8,9,10,11,13,15,16,19,19
Depreciation,15,17,19,20,20,21,21,21,24,27,26,26,27
Profit before tax,10,35,27,48,41,33,34,38,35,52,46,37,42
Tax %,30%,19%,28%,31%,27%,38%,32%,31%,27%,31%,26%,23%,19%
Net Profit +,7,29,20,33,30,21,23,26,26,36,34,28,33
EPS in Rs,7.25,30.51,21.20,35.27,31.60,22.20,24.73,28.08,27.37,38.59,36.57,30.25,35.82
Raw PDF,,,,,,,,,,,,,
