,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,920,949,"1,000","1,072","1,179","1,238","1,306","1,374","1,445","1,489","1,568","1,671","1,742"
Interest,539,575,589,626,693,767,830,900,937,993,"1,059","1,128","1,184"
Expenses +,342,335,359,388,417,407,412,427,434,463,504,523,539
Financing Profit,38,39,52,58,69,64,63,47,73,34,5,20,19
Financing Margin %,4%,4%,5%,5%,6%,5%,5%,3%,5%,2%,0%,1%,1%
Other Income +,115,92,99,95,122,107,107,124,136,143,205,184,219
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,153,131,152,153,191,171,171,171,210,177,210,204,238
Tax %,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%
Net Profit +,113,97,112,114,142,127,127,127,156,131,155,151,177
EPS in Rs,3.65,3.12,3.61,3.66,4.57,4.07,4.06,4.06,4.98,4.19,4.96,4.83,5.63
Gross NPA %,4.32%,4.21%,3.89%,3.62%,3.19%,3.26%,3.36%,3.43%,3.23%,3.33%,3.29%,3.11%,2.99%
Net NPA %,1.97%,1.82%,1.54%,1.37%,1.04%,1.19%,1.28%,1.22%,1.11%,1.18%,1.17%,1.18%,1.12%
Raw PDF,,,,,,,,,,,,,
