,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,225,266,537,404,303,382
Expenses +,174,213,452,348,246,314
Operating Profit,51,53,85,56,57,68
OPM %,22%,20%,16%,14%,19%,18%
Other Income +,1,2,1,1,1,2
Interest,3,2,4,4,3,2
Depreciation,3,3,3,4,6,8
Profit before tax,45,50,79,50,49,60
Tax %,25%,26%,26%,24%,25%,28%
Net Profit +,34,37,59,38,36,43
EPS in Rs,6.79,7.32,11.73,7.55,7.30,8.69
Dividend Payout %,15%,11%,3%,11%,27%,46%
