,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"4,554","4,922","5,470","5,912","6,424","6,869","7,356","7,880","8,220","8,789","8,957","9,343","9,413"
Interest,"1,884","2,170","2,467","2,626","2,827","3,122","3,406","3,592","3,750","4,093","4,169","4,440","4,505"
Expenses +,"3,031","2,957","3,304","3,612","3,901","4,114","4,377","4,874","5,164","5,417","6,270","6,260","6,459"
Financing Profit,-361,-205,-301,-326,-303,-367,-427,-587,-694,-721,"-1,482","-1,358","-1,551"
Financing Margin %,-8%,-4%,-6%,-6%,-5%,-5%,-6%,-7%,-8%,-8%,-17%,-15%,-16%
Other Income +,831,856,"1,061","1,152","1,398","1,364","1,410","1,517","1,642","1,574","1,727","1,780","1,895"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,470,650,760,827,"1,094",996,983,930,948,853,245,422,344
Tax %,25%,25%,25%,25%,25%,27%,24%,21%,23%,25%,14%,19%,14%
Net Profit +,352,485,567,617,816,732,747,732,732,643,212,340,296
EPS in Rs,0.57,0.78,0.91,0.99,1.23,1.10,1.11,1.04,1.04,0.91,0.28,0.46,0.40
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
