,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"14,446","14,981","17,651","21,854","25,067"
Interest,"8,966","8,508","10,307","13,754","15,437"
Expenses +,"8,845","7,658","6,729","8,517","10,203"
Financing Profit,"-3,365","-1,185",614,-416,-573
Financing Margin %,-23%,-8%,3%,-2%,-2%
Other Income +,"3,424","3,066","2,472","3,266","4,407"
Depreciation,134,165,218,281,0
Profit before tax,-75,"1,716","2,869","2,569","3,834"
Tax %,-321%,48%,36%,36%,36%
Net Profit +,188,930,"1,826","1,672","2,468"
EPS in Rs,0.19,0.78,1.53,1.40,1.97
Dividend Payout %,0%,0%,0%,20%,20%
