,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,343,375,398,400,404,407,457,416,417,432,444,449,442
Expenses +,302,329,344,342,350,354,375,354,363,370,376,378,372
Operating Profit,42,46,54,57,54,53,82,63,54,62,68,71,71
OPM %,12%,12%,14%,14%,13%,13%,18%,15%,13%,14%,15%,16%,16%
Other Income +,5,3,1,2,5,4,0,2,2,3,2,4,2
Interest,1,1,1,2,2,2,3,3,3,2,2,2,1
Depreciation,8,8,9,10,10,10,17,17,17,17,17,16,15
Profit before tax,37,39,45,48,48,46,62,44,36,47,52,57,57
Tax %,21%,19%,19%,14%,25%,68%,29%,-3%,24%,47%,23%,31%,32%
Net Profit +,30,32,37,41,36,14,44,46,27,25,40,39,39
EPS in Rs,2.51,2.69,3.11,3.50,3.03,1.22,3.72,3.88,2.32,2.10,3.37,3.30,3.26
Raw PDF,,,,,,,,,,,,,
