,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,214,323,246,279,170,273,191,283,219,301
Expenses +,190,268,214,235,160,234,178,246,200,262
Operating Profit,23,55,32,43,9,39,13,37,19,40
OPM %,11%,17%,13%,15%,6%,14%,7%,13%,9%,13%
Other Income +,9,5,18,14,18,10,21,27,-9,-1
Interest,0,0,1,0,1,1,1,1,0,0
Depreciation,7,7,7,7,7,7,6,6,6,6
Profit before tax,25,53,43,50,20,43,28,57,4,32
Tax %,22%,24%,23%,27%,17%,19%,18%,22%,64%,24%
Net Profit +,19,40,33,36,17,35,22,45,1,24
EPS in Rs,22.49,46.47,38.19,42.19,19.53,40.22,26.01,51.85,1.48,28.25
Raw PDF,,,,,,,,,,
