,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,130,213,391,267,143,256,411,289,174,251,464,296,204
Expenses +,124,173,316,223,149,208,307,230,163,206,351,235,178
Operating Profit,6,40,75,44,-6,49,104,59,11,46,113,61,26
OPM %,4%,19%,19%,17%,-4%,19%,25%,20%,6%,18%,24%,20%,13%
Other Income +,2,2,4,4,4,2,2,4,4,3,4,5,4
Interest,5,5,5,3,4,5,6,4,4,4,4,3,3
Depreciation,6,6,7,8,6,8,9,9,8,9,11,11,10
Profit before tax,-2,30,67,37,-12,38,92,50,3,35,103,52,17
Tax %,6%,28%,26%,27%,-22%,24%,23%,24%,-210%,21%,25%,25%,31%
Net Profit +,-2,22,49,27,-9,29,71,38,9,28,77,39,12
EPS in Rs,-3.34,30.18,68.81,38.02,-12.92,40.04,98.81,52.94,12.86,38.45,107.71,54.23,16.60
Raw PDF,,,,,,,,,,,,,
