,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,108,125,56,108,148,113,70,82,207,127,199,212,401
Expenses +,100,108,45,89,125,92,54,65,177,105,158,169,331
Operating Profit,7,17,11,20,23,21,16,17,30,22,40,43,70
OPM %,7%,14%,20%,18%,15%,19%,23%,21%,15%,18%,20%,20%,18%
Other Income +,3,0,1,0,3,0,1,1,10,8,3,1,7
Interest,1,1,1,2,2,2,3,3,4,5,8,7,9
Depreciation,1,1,1,1,1,2,2,2,2,2,3,3,5
Profit before tax,8,15,10,17,23,17,12,12,34,23,33,34,65
Tax %,28%,32%,33%,30%,30%,11%,30%,26%,26%,20%,24%,22%,29%
Net Profit +,5,10,7,12,15,15,8,9,25,18,25,26,46
EPS in Rs,0.82,1.50,1.01,1.76,2.32,2.28,1.23,1.39,3.73,2.73,3.74,3.96,6.87
Raw PDF,,,,,,,,,,,,,
