,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,133,101,116,162,174,112,135,176,194,128,151,223,219
Expenses +,99,65,85,107,132,77,106,122,149,89,117,150,160
Operating Profit,34,35,31,55,42,34,30,54,45,39,35,72,59
OPM %,25%,35%,27%,34%,24%,31%,22%,31%,23%,31%,23%,33%,27%
Other Income +,2,1,1,1,1,1,1,1,3,2,1,2,3
Interest,6,6,6,7,7,7,7,8,8,8,8,9,9
Depreciation,12,12,13,14,14,13,14,17,18,18,19,20,23
Profit before tax,18,19,12,36,22,15,9,31,22,15,8,45,30
Tax %,55%,24%,26%,25%,23%,19%,15%,22%,16%,25%,17%,24%,25%
Net Profit +,8,14,9,27,17,12,8,24,18,11,7,34,23
EPS in Rs,1.00,1.73,1.14,3.30,2.07,1.50,0.92,2.95,2.19,1.36,0.78,4.11,2.69
Raw PDF,,,,,,,,,,,,,
