,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,322","1,843","2,024","2,109","2,112","1,984","2,438","2,046","2,170","2,130","2,001","1,979","2,184"
Expenses +,"1,797","1,575","1,709","1,737","1,960","1,825","2,105","1,837","1,960","1,860","1,678","1,658","1,886"
Operating Profit,525,268,315,372,152,159,333,209,210,270,323,321,298
OPM %,23%,15%,16%,18%,7%,8%,14%,10%,10%,13%,16%,16%,14%
Other Income +,-99,-20,-54,-187,-199,-113,-55,-27,-11,-17,45,-46,36
Interest,38,8,10,13,40,23,23,18,7,6,8,11,8
Depreciation,60,71,74,84,83,79,77,76,77,76,73,66,64
Profit before tax,328,169,177,88,-170,-57,177,87,115,172,286,198,262
Tax %,45%,37%,36%,72%,15%,-6%,31%,33%,88%,31%,27%,17%,28%
Net Profit +,182,107,113,24,-196,-53,123,58,13,118,209,164,188
EPS in Rs,1.89,1.11,1.18,0.25,-2.04,-0.56,1.28,0.61,0.14,1.23,2.18,1.70,1.96
Raw PDF,,,,,,,,,,,,,
