,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,313,327,343,373,416,391,377,369,413,394,407,425,497
Expenses +,262,279,292,314,332,323,318,317,348,343,358,371,423
Operating Profit,51,48,52,59,84,68,59,53,65,51,49,55,75
OPM %,16%,15%,15%,16%,20%,17%,16%,14%,16%,13%,12%,13%,15%
Other Income +,11,13,10,11,5,9,9,11,16,11,14,46,8
Interest,1,1,1,1,0,1,0,1,0,0,0,2,7
Depreciation,9,9,9,9,9,9,9,9,9,9,9,10,20
Profit before tax,52,52,52,60,80,67,59,54,71,53,53,88,56
Tax %,13%,17%,24%,25%,27%,19%,16%,23%,27%,17%,20%,15%,19%
Net Profit +,45,43,39,45,58,55,49,41,52,44,42,75,45
EPS in Rs,7.74,7.36,6.78,7.78,10.13,9.34,8.35,7.00,8.90,7.37,7.18,12.56,7.58
Raw PDF,,,,,,,,,,,,,
