,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,409,408,433,399,428,426,482,459,450,431,433,411,390
Expenses +,329,337,345,337,363,365,410,397,401,384,392,399,391
Operating Profit,81,71,88,62,65,61,71,63,49,48,40,12,-1
OPM %,20%,18%,20%,16%,15%,14%,15%,14%,11%,11%,9%,3%,-0%
Other Income +,0,1,0,0,0,0,4,-6,22,1,2,2,2
Interest,3,4,5,7,9,8,8,10,12,14,18,16,18
Depreciation,18,20,16,17,18,20,21,24,26,28,29,29,29
Profit before tax,60,48,67,38,39,34,46,23,33,7,-5,-31,-46
Tax %,32%,20%,26%,26%,34%,29%,24%,31%,33%,74%,107%,-8%,-9%
Net Profit +,40,39,50,28,26,24,35,16,22,2,-10,-28,-41
EPS in Rs,4.39,4.19,5.40,3.05,2.80,2.65,3.81,1.77,2.46,0.28,-1.04,-2.86,-4.38
Raw PDF,,,,,,,,,,,,,
