,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,44,42,89,125,170,175,168,113,179,290,136,95,147
Expenses +,21,21,39,80,90,40,77,45,108,215,74,63,72
Operating Profit,23,21,51,45,80,135,90,68,71,75,62,32,74
OPM %,52%,50%,57%,36%,47%,77%,54%,60%,39%,26%,46%,33%,51%
Other Income +,3,-33,2,1,-10,4,7,3,10,37,11,5,4
Interest,2,4,7,12,12,7,9,8,7,6,6,5,5
Depreciation,5,11,14,16,22,23,20,18,21,20,18,18,20
Profit before tax,19,-27,33,19,36,110,68,44,51,85,48,13,52
Tax %,-1%,2%,1%,4%,-4%,3%,2%,2%,9%,17%,14%,19%,17%
Net Profit +,19,-27,32,18,37,107,66,43,47,71,42,11,43
EPS in Rs,1.45,-2.06,2.45,1.34,2.82,8.06,5.00,3.27,3.52,5.34,3.17,0.82,3.28
Raw PDF,,,,,,,,,,,,,
