,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,48,48,52,51,59,51,51,54,70,49,56,53,76
Expenses +,36,36,38,38,42,39,39,41,53,39,43,42,57
Operating Profit,11,11,14,14,17,12,12,13,18,11,13,11,18
OPM %,24%,24%,27%,27%,29%,24%,24%,24%,25%,22%,23%,21%,24%
Other Income +,1,1,1,2,2,2,2,2,2,2,3,2,2
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,2,2,2,2,2,2,2,2,2,2,2,2,3
Profit before tax,10,10,13,13,16,12,12,13,17,10,13,11,17
Tax %,27%,25%,25%,25%,22%,26%,25%,26%,22%,25%,19%,23%,25%
Net Profit +,7,7,10,10,13,9,9,10,13,8,11,8,13
EPS in Rs,37.35,36.15,50.00,50.35,63.95,45.10,44.75,48.00,66.90,38.40,53.45,41.10,64.45
Raw PDF,,,,,,,,,,,,,
