,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,19,51,30,58,242,151,149,324,334,323,385,290,489
Expenses +,16,45,23,39,223,140,124,287,318,300,356,249,465
Operating Profit,4,6,6,19,18,11,25,38,15,23,29,41,25
OPM %,19%,12%,21%,33%,8%,8%,17%,12%,5%,7%,8%,14%,5%
Other Income +,155,0,11,3,0,8,15,63,49,4,24,18,37
Interest,1,1,1,1,2,2,2,1,2,2,4,3,17
Depreciation,0,0,1,1,1,1,1,1,3,2,2,3,3
Profit before tax,158,5,16,21,16,17,37,99,59,22,46,53,42
Tax %,4%,0%,0%,32%,36%,12%,16%,24%,11%,21%,13%,22%,35%
Net Profit +,150,5,15,14,34,15,39,75,46,17,40,41,25
EPS in Rs,1.18,-0.00,0.09,0.06,0.24,0.06,0.23,0.47,0.16,0.05,0.17,0.15,0.07
Raw PDF,,,,,,,,,,,,,
