,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"6,780","6,605","6,934","9,250","9,994","9,200","9,923"
Expenses +,"6,271","6,349","6,538","8,629","9,322","8,502","9,267"
Operating Profit,509,255,396,621,672,698,656
OPM %,8%,4%,6%,7%,7%,8%,7%
Other Income +,63,184,111,12,62,-0,72
Interest,146,237,182,160,193,210,158
Depreciation,418,444,443,461,502,557,549
Profit before tax,8,-242,-119,13,40,-69,21
Tax %,497%,3%,-36%,463%,-4%,31%,
Net Profit +,-33,-248,-76,-46,42,-90,-0
EPS in Rs,-4.26,-60.62,-23.43,-1.35,1.09,-2.30,-0.10
Dividend Payout %,0%,0%,0%,0%,0%,0%,
