,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,208,271,281,177,256,376,216,307,342,289,314,524,515
Expenses +,180,239,245,157,221,326,176,267,293,254,270,442,436
Operating Profit,29,32,36,20,35,50,40,41,49,34,44,81,79
OPM %,14%,12%,13%,11%,14%,13%,19%,13%,14%,12%,14%,16%,15%
Other Income +,2,4,3,6,2,2,1,5,7,8,7,4,3
Interest,2,4,8,7,8,8,7,10,13,13,10,11,11
Depreciation,7,8,8,8,8,9,9,9,9,10,9,10,9
Profit before tax,21,24,23,11,20,35,25,27,34,20,32,65,62
Tax %,39%,26%,27%,33%,25%,22%,28%,30%,20%,26%,24%,26%,25%
Net Profit +,13,18,17,7,15,28,18,19,27,15,24,48,47
EPS in Rs,1.54,2.16,2.03,0.92,1.75,3.29,2.20,2.20,3.29,1.67,2.92,5.79,5.64
Raw PDF,,,,,,,,,,,,,
