,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,769,709,506,537,655,617,737,750,801,803,823,839,841
Expenses +,602,600,449,477,584,541,655,648,684,684,707,722,721
Operating Profit,167,109,57,60,71,76,82,103,116,119,115,117,120
OPM %,22%,15%,11%,11%,11%,12%,11%,14%,15%,15%,14%,14%,14%
Other Income +,1,1,1,0,1,1,0,0,1,1,1,1,1
Interest,14,11,9,7,10,15,15,25,28,27,22,21,21
Depreciation,22,22,22,22,21,23,24,35,36,37,37,37,37
Profit before tax,132,77,27,31,41,39,43,43,53,57,57,60,63
Tax %,35%,14%,-6%,-1%,5%,26%,26%,26%,26%,26%,26%,25%,27%
Net Profit +,85,66,29,32,39,29,32,32,39,42,42,45,46
EPS in Rs,15.20,11.66,5.18,5.62,6.86,5.14,5.64,5.65,6.97,7.49,7.50,7.97,8.25
Raw PDF,,,,,,,,,,,,,
