,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,34,34,50,51,52,53,61,65,63,74,81,78,78
Expenses +,14,12,22,25,26,18,11,21,33,20,21,22,41
Operating Profit,20,22,27,26,26,35,50,43,30,54,59,56,37
OPM %,60%,66%,55%,51%,51%,67%,82%,67%,48%,74%,74%,72%,48%
Other Income +,1,1,1,1,2,2,4,3,5,5,6,4,5
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,1,0,0,0,1,1,1,1
Profit before tax,21,23,28,27,28,36,53,46,35,58,64,59,41
Tax %,25%,25%,25%,25%,34%,25%,25%,25%,26%,25%,25%,25%,26%
Net Profit +,16,17,21,20,18,27,40,35,26,44,48,44,31
EPS in Rs,1.23,1.32,1.61,1.56,1.43,2.11,3.09,2.70,2.01,3.41,3.77,3.46,2.39
Raw PDF,,,,,,,,,,,,,
