,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,242,398,385,279,360,400,389,280,351,418,464,346,454
Expenses +,211,344,334,246,312,345,337,247,303,360,401,301,392
Operating Profit,31,55,51,33,48,55,52,33,48,58,63,44,62
OPM %,13%,14%,13%,12%,13%,14%,13%,12%,14%,14%,14%,13%,14%
Other Income +,2,3,2,3,4,5,3,3,3,4,4,4,5
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,5,5,5,5,5,5,4,4,5,6,5,5
Profit before tax,29,53,48,31,47,55,51,32,47,58,61,43,61
Tax %,25%,26%,26%,26%,26%,26%,26%,25%,25%,26%,26%,25%,26%
Net Profit +,22,40,36,23,35,41,38,24,35,43,45,32,45
EPS in Rs,18.00,32.56,29.54,19.13,28.78,33.69,31.01,19.84,28.96,35.56,37.39,26.30,37.39
Raw PDF,,,,,,,,,,,,,
