,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales +,108,124,224,338,729
Expenses +,98,110,174,256,562
Operating Profit,10,15,50,82,166
OPM %,9%,12%,22%,24%,23%
Other Income +,2,2,2,4,9
Interest,3,4,4,8,23
Depreciation,1,1,2,2,6
Profit before tax,7,12,46,75,147
Tax %,27%,26%,25%,26%,28%
Net Profit +,5,9,35,55,106
EPS in Rs,21.35,35.29,141.60,21.46,7.92
Dividend Payout %,0%,0%,0%,0%,0%
