,Mar 2022,Sep 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,0,0,0,0,277,926,"1,846","2,023","1,522","2,120"
Expenses +,0,0,0,0,350,"1,335","2,801","2,424","1,963","2,776"
Operating Profit,0,0,0,0,-72,-409,-956,-401,-441,-656
OPM %,,,,,-26%,-44%,-52%,-20%,-29%,-31%
Other Income +,0,0,0,0,13,16,90,21,13,18
Interest,0,0,0,0,41,134,155,153,161,165
Depreciation,0,0,0,0,75,226,252,239,240,253
Profit before tax,0,0,0,0,-175,-753,"-1,273",-772,-829,"-1,056"
Tax %,,,,,-25%,-25%,-32%,-29%,-28%,-28%
Net Profit +,0,0,0,0,-131,-568,-861,-547,-595,-758
EPS in Rs,,,,,,,,,,
Raw PDF,,,,,,,,,,
