,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,4,4,4,3,3,4,3,2,2,1,3,2,1
Expenses +,24,25,26,55,34,32,27,49,33,32,55,41,45
Operating Profit,-20,-21,-22,-52,-32,-28,-24,-46,-30,-31,-52,-39,-44
OPM %,-467%,-596%,-494%,"-1,719%","-1,208%",-737%,-768%,"-1,885%","-1,267%","-3,024%","-2,032%","-2,435%","-2,981%"
Other Income +,0,6,0,2,6,6,13,6,4,4,4,2,1
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,2,2,2,2,2,2,2,2,1,1,2,1
Profit before tax,-21,-16,-23,-51,-28,-24,-13,-42,-28,-28,-50,-39,-44
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,-4%,0%,0%,0%,0%
Net Profit +,-21,-16,-23,-51,-28,-24,-13,-42,-27,-28,-50,-39,-44
EPS in Rs,-0.95,-0.75,-1.06,-2.34,-1.27,-1.10,-0.58,-1.91,-1.22,-1.29,-2.28,-1.79,-2.01
Raw PDF,,,,,,,,,,,,,
