,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,598,606,745,652,670,498,441,369,381,451,381,415,359
Expenses +,528,594,737,612,766,495,425,393,425,439,422,399,372
Operating Profit,70,13,8,40,-95,3,15,-24,-44,12,-42,16,-13
OPM %,12%,2%,1%,6%,-14%,1%,4%,-7%,-12%,3%,-11%,4%,-4%
Other Income +,10,40,36,6,21,6,82,"3,898",71,22,532,90,36
Interest,109,121,129,139,135,115,148,58,5,6,8,3,3
Depreciation,8,8,8,8,9,8,8,8,8,8,8,8,8
Profit before tax,-37,-76,-93,-101,-219,-113,-59,"3,807",14,20,474,94,13
Tax %,12%,1%,0%,0%,12%,6%,-11%,20%,-369%,24%,17%,25%,8%
Net Profit +,-42,-77,-93,-101,-246,-120,-52,"3,054",66,16,393,70,12
EPS in Rs,-2.02,-3.72,-4.50,-4.88,-11.92,-5.80,-2.52,147.87,3.22,0.75,19.03,3.39,0.56
Raw PDF,,,,,,,,,,,,,
