,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,684",669,805,"1,037","1,388",577,917,"1,047","1,514",634,860,876,"1,653"
Expenses +,"1,454",725,763,948,"1,101",627,858,991,"1,143",684,787,815,"1,230"
Operating Profit,230,-56,42,89,287,-51,59,56,370,-50,73,60,422
OPM %,14%,-8%,5%,9%,21%,-9%,6%,5%,24%,-8%,8%,7%,26%
Other Income +,1,1,1,5,19,1,10,34,5,1,15,5,4
Interest,10,11,11,12,12,10,11,8,11,9,16,17,13
Depreciation,16,16,16,16,16,16,16,16,17,17,17,19,19
Profit before tax,205,-82,16,66,278,-75,42,67,348,-75,55,30,395
Tax %,35%,0%,0%,0%,43%,0%,-23%,28%,26%,-7%,7%,17%,27%
Net Profit +,133,-82,16,66,158,-75,52,48,257,-70,51,24,288
EPS in Rs,32.07,-19.80,3.91,15.94,37.91,-18.03,12.45,11.59,61.73,-16.94,12.27,5.87,69.12
Raw PDF,,,,,,,,,,,,,
