,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,306,280,300,285,283,277,308,291,331,313,350,323,345
Expenses +,231,211,221,215,212,214,234,226,251,235,260,251,283
Operating Profit,75,68,79,70,70,63,75,65,80,79,90,72,62
OPM %,24%,24%,26%,25%,25%,23%,24%,22%,24%,25%,26%,22%,18%
Other Income +,6,3,4,7,1,3,1,2,3,2,3,3,7
Interest,6,8,7,6,6,6,6,5,6,5,5,5,5
Depreciation,18,21,22,23,23,21,22,25,26,26,27,28,29
Profit before tax,56,43,55,48,42,39,48,37,51,51,61,42,36
Tax %,29%,22%,26%,25%,20%,26%,26%,26%,28%,25%,24%,26%,19%
Net Profit +,40,34,40,36,33,29,36,27,37,38,47,31,29
EPS in Rs,7.81,6.53,7.88,6.99,6.51,5.62,6.92,5.30,7.11,7.41,9.08,6.12,5.63
Raw PDF,,,,,,,,,,,,,
