,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,600,340,371,421,574,411,495,496,744,472,593,600,857
Expenses +,533,323,343,402,515,350,446,433,633,399,511,526,717
Operating Profit,67,17,29,19,59,61,49,63,110,73,82,74,140
OPM %,11%,5%,8%,4%,10%,15%,10%,13%,15%,16%,14%,12%,16%
Other Income +,2,0,13,8,3,3,2,-2,2,3,3,9,25
Interest,12,13,11,14,14,14,12,12,12,32,13,12,11
Depreciation,4,4,5,4,5,5,5,6,6,6,6,6,7
Profit before tax,52,0,27,9,44,45,35,43,94,38,65,65,147
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,3%,91%,26%,16%,25%
Net Profit +,52,0,27,9,44,45,35,43,91,3,48,54,111
EPS in Rs,2.19,0.00,1.11,0.37,1.82,1.88,1.46,1.79,3.80,0.14,2.03,2.27,4.62
Raw PDF,,,,,,,,,,,,,
