,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,987,"1,228","1,319","1,536","1,280","1,414","1,214","1,438","1,318","1,199","1,270","1,682","1,442"
Expenses +,825,997,"1,035","1,257","1,136","1,163","1,020","1,260","1,140","1,082","1,148","1,487","1,219"
Operating Profit,163,231,285,279,144,252,195,178,178,117,123,195,224
OPM %,16%,19%,22%,18%,11%,18%,16%,12%,14%,10%,10%,12%,16%
Other Income +,7,11,21,18,43,27,33,28,9,22,36,8,11
Interest,4,2,1,3,8,1,1,7,14,5,1,1,8
Depreciation,19,19,19,19,19,20,20,20,20,20,20,20,21
Profit before tax,147,222,285,275,160,257,207,179,153,114,138,182,207
Tax %,26%,26%,25%,25%,26%,24%,26%,25%,25%,24%,25%,27%,25%
Net Profit +,109,164,213,205,118,195,153,134,114,87,103,133,154
EPS in Rs,4.63,6.99,9.05,8.73,5.01,8.27,6.70,5.85,4.98,3.78,4.49,5.79,6.74
Raw PDF,,,,,,,,,,,,,
