,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,99,160,171,204,238,266,282,305,281,321,317,340,314
Expenses +,87,141,151,178,204,249,258,278,256,298,294,317,294
Operating Profit,12,19,20,26,34,18,24,27,25,23,23,23,20
OPM %,12%,12%,12%,13%,14%,7%,9%,9%,9%,7%,7%,7%,6%
Other Income +,0,0,1,1,1,1,1,1,1,2,1,2,4
Interest,1,0,1,0,0,0,0,0,0,0,1,0,2
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,11,18,20,26,34,18,24,27,24,23,22,24,21
Tax %,21%,26%,25%,26%,26%,26%,25%,25%,26%,27%,27%,28%,28%
Net Profit +,9,13,15,19,25,13,18,20,18,17,16,17,15
EPS in Rs,1.72,2.57,2.84,3.63,4.84,2.45,3.37,3.80,3.40,3.24,3.03,3.23,2.80
Raw PDF,,,,,,,,,,,,,
