,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,177,180,235,246,234,237,226,234,215,240,243,263,255
Expenses +,144,160,200,207,195,196,184,187,167,192,201,208,209
Operating Profit,33,20,35,40,39,41,42,47,48,48,42,54,46
OPM %,19%,11%,15%,16%,17%,17%,19%,20%,22%,20%,17%,21%,18%
Other Income +,-4,7,0,0,0,1,1,2,2,0,3,2,2
Interest,2,2,2,1,4,1,1,1,1,0,1,4,-1
Depreciation,6,6,6,6,4,4,5,5,6,6,6,5,6
Profit before tax,21,19,28,32,32,36,36,43,44,41,38,47,42
Tax %,27%,13%,24%,26%,24%,26%,24%,27%,28%,8%,25%,27%,30%
Net Profit +,16,17,21,24,24,27,28,32,31,38,28,34,30
EPS in Rs,9.20,9.80,12.38,14.26,14.18,15.81,16.39,18.73,18.49,22.17,16.73,20.13,17.59
Raw PDF,,,,,,,,,,,,,
