,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,442","2,011","1,322","1,964","2,402","4,070","4,069","4,059","4,750","4,461","3,137","3,302","3,614"
Expenses +,"1,347","1,940","1,293","2,095","2,236","3,650","3,712","3,660","4,287","4,131","2,763","2,902","3,179"
Operating Profit,95,71,29,-131,166,421,357,400,463,330,374,400,434
OPM %,7%,4%,2%,-7%,7%,10%,9%,10%,10%,7%,12%,12%,12%
Other Income +,58,415,76,191,38,91,50,227,62,178,83,125,487
Interest,27,30,31,47,70,95,92,75,62,75,66,83,82
Depreciation,64,63,61,70,80,91,86,86,90,87,85,89,90
Profit before tax,61,393,13,-58,53,325,228,466,373,347,305,352,749
Tax %,37%,33%,107%,9%,56%,26%,26%,17%,21%,17%,19%,20%,10%
Net Profit +,39,264,-1,-63,23,240,168,387,294,287,248,283,672
EPS in Rs,1.75,9.05,0.16,-2.16,0.89,9.02,6.32,14.70,11.15,10.24,9.46,10.94,25.72
Raw PDF,,,,,,,,,,,,,
