,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,264","2,204","2,000","2,016","2,463","2,407","2,286","2,310","2,654","2,190","1,953","2,257","2,815"
Expenses +,"1,988","1,944","1,906","1,872","2,188","2,109","1,997","1,932","2,182","1,932","1,775","2,009","2,281"
Operating Profit,277,259,94,144,274,298,289,378,472,258,177,248,534
OPM %,12%,12%,5%,7%,11%,12%,13%,16%,18%,12%,9%,11%,19%
Other Income +,31,3,42,8,67,16,27,16,33,17,17,15,10
Interest,55,70,93,87,89,97,95,97,82,86,85,83,73
Depreciation,100,115,125,130,140,140,143,145,150,146,145,139,142
Profit before tax,153,77,-82,-64,113,76,77,153,273,44,-36,41,328
Tax %,27%,20%,-32%,-23%,25%,22%,24%,29%,29%,26%,-29%,25%,22%
Net Profit +,111,62,-56,-50,85,60,58,109,193,33,-25,31,257
EPS in Rs,14.42,8.04,-7.33,-6.48,11.03,7.75,7.58,14.17,25.11,4.24,-3.27,4.05,33.32
Raw PDF,,,,,,,,,,,,,
