,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,203,254,249,142,68,98,146,134,164,173,190,216,276
Expenses +,154,198,208,114,70,104,132,115,132,139,150,161,222
Operating Profit,49,55,42,27,-2,-6,14,19,33,35,40,55,54
OPM %,24%,22%,17%,19%,-2%,-7%,10%,14%,20%,20%,21%,25%,20%
Other Income +,5,14,15,9,3,17,2,6,2,3,3,3,8
Interest,0,3,1,1,2,0,1,2,2,3,2,3,4
Depreciation,5,5,5,5,5,5,5,5,5,5,5,4,4
Profit before tax,49,60,50,30,-5,5,10,19,28,30,36,50,55
Tax %,29%,27%,26%,27%,-19%,45%,24%,29%,47%,34%,27%,27%,27%
Net Profit +,35,44,37,22,-4,3,8,13,15,20,27,37,41
EPS in Rs,1.74,2.22,1.84,1.09,-0.20,0.17,0.39,0.67,0.76,1.01,1.37,1.87,2.06
Raw PDF,,,,,,,,,,,,,
