,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,544","1,472","1,488","1,505","1,557","1,529","1,540","1,597","1,670","1,791","1,925","2,102","2,161"
Expenses +,"1,299","1,291","1,296","1,295","1,313","1,289","1,311","1,359","1,420","1,521","1,638","1,785","1,829"
Operating Profit,245,181,192,210,244,240,229,237,250,270,287,318,333
OPM %,16%,12%,13%,14%,16%,16%,15%,15%,15%,15%,15%,15%,15%
Other Income +,-0,6,49,62,13,2,17,15,3,2,-3,7,2
Interest,19,19,20,20,21,25,26,25,27,32,34,39,43
Depreciation,70,64,66,69,64,61,65,66,67,73,79,84,91
Profit before tax,156,105,155,184,172,155,154,161,159,167,171,201,202
Tax %,15%,19%,16%,14%,18%,19%,18%,20%,16%,19%,19%,20%,20%
Net Profit +,132,85,129,158,141,126,127,129,134,135,138,160,161
EPS in Rs,1.90,1.22,1.85,2.26,2.02,1.79,1.80,1.83,1.90,1.92,1.96,2.27,2.27
Raw PDF,,,,,,,,,,,,,
