,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,822,760,812,908,"1,065","1,170","1,247","1,292","1,457","1,512","1,453","1,380","1,407"
Interest,267,280,273,314,346,385,424,442,482,510,485,475,478
Expenses +,327,280,299,293,311,306,345,365,434,453,700,"1,020",864
Financing Profit,228,200,240,301,409,479,478,486,542,549,269,-115,65
Financing Margin %,28%,26%,30%,33%,38%,41%,38%,38%,37%,36%,18%,-8%,5%
Other Income +,3,1,2,2,1,1,1,3,2,1,1,2,1
Depreciation,12,12,13,13,12,12,12,13,14,14,17,16,15
Profit before tax,218,189,229,290,398,467,467,476,529,535,252,-129,51
Tax %,26%,27%,24%,25%,25%,25%,26%,26%,25%,26%,26%,-23%,8%
Net Profit +,160,139,175,217,297,348,347,353,397,398,186,-100,47
EPS in Rs,10.08,8.89,11.22,13.59,18.98,22.30,21.81,22.20,24.91,24.95,11.67,-6.24,2.96
Gross NPA %,3.61%,3.11%,2.17%,1.71%,1.21%,0.89%,0.77%,0.97%,1.18%,1.46%,2.44%,3.99%,4.76%
Net NPA %,,,0.77%,0.59%,,0.27%,0.24%,0.29%,0.35%,0.45%,0.76%,1.28%,1.73%
Raw PDF,,,,,,,,,,,,,
