,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,162,200,204,178,193,201,203,178,221,213,208,208,251
Expenses +,132,166,170,144,158,162,160,143,180,165,165,162,198
Operating Profit,30,35,35,34,35,39,43,35,41,48,43,47,53
OPM %,19%,17%,17%,19%,18%,20%,21%,20%,19%,23%,21%,22%,21%
Other Income +,8,5,6,5,2,8,8,9,7,11,15,3,12
Interest,1,0,1,1,1,1,1,1,1,0,0,0,0
Depreciation,5,5,5,5,7,7,7,7,7,7,7,7,7
Profit before tax,33,34,35,33,29,40,43,36,40,51,51,42,57
Tax %,23%,20%,23%,21%,20%,23%,24%,25%,19%,27%,21%,28%,27%
Net Profit +,25,27,27,27,23,31,32,27,32,37,40,31,42
EPS in Rs,5.59,6.17,6.18,6.04,5.32,6.95,7.38,6.21,7.33,8.50,9.06,6.96,9.44
Raw PDF,,,,,,,,,,,,,
