,Mar 2025
Sales +,771
Expenses +,584
Operating Profit,186
OPM %,24%
Other Income +,21
Interest,39
Depreciation,22
Profit before tax,146
Tax %,25%
Net Profit +,110
EPS in Rs,18.42
Dividend Payout %,3%
