,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,182","1,191","1,228","1,220","1,384","1,543","1,305","1,391","1,660","1,636","1,505","1,454","1,753"
Expenses +,"1,039","1,018","1,048","1,028","1,196","1,277","1,103","1,133","1,357","1,313","1,207","1,199","1,440"
Operating Profit,143,173,181,192,188,266,201,258,303,323,298,255,313
OPM %,12%,15%,15%,16%,14%,17%,15%,19%,18%,20%,20%,18%,18%
Other Income +,8,6,6,7,11,7,8,-24,23,20,19,11,36
Interest,35,42,47,57,64,76,74,82,97,101,118,133,131
Depreciation,25,27,26,26,26,27,30,31,31,30,33,37,39
Profit before tax,91,110,113,117,109,170,105,122,198,211,166,95,179
Tax %,25%,26%,27%,24%,27%,26%,26%,26%,26%,26%,25%,28%,29%
Net Profit +,68,82,83,88,79,126,78,89,147,156,125,68,127
EPS in Rs,4.79,5.64,5.79,6.09,5.45,8.67,5.38,6.20,10.25,10.98,8.79,4.91,9.03
Raw PDF,,,,,,,,,,,,,
