,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,21,34,124,135,383,678
Expenses +,19,30,112,115,302,534
Operating Profit,2,3,12,19,81,145
OPM %,9%,10%,10%,14%,21%,21%
Other Income +,0,0,1,1,3,5
Interest,0,1,2,3,6,11
Depreciation,0,0,1,1,2,4
Profit before tax,2,2,11,16,76,134
Tax %,55%,69%,35%,34%,28%,
Net Profit +,1,1,7,11,54,97
EPS in Rs,21.35,2.35,11.30,15.74,28.33,49.27
Dividend Payout %,0%,0%,0%,0%,0%,
