,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"6,585","7,316","8,561","8,066","8,031","9,056","9,933","10,114","9,942","10,407","11,302","11,035","11,542"
Expenses +,"5,760","6,420","7,490","7,055","6,982","7,852","8,588","8,639","8,487","8,960","9,678","9,402","9,638"
Operating Profit,826,896,"1,071","1,011","1,049","1,204","1,345","1,475","1,455","1,447","1,624","1,633","1,904"
OPM %,13%,12%,13%,13%,13%,13%,14%,15%,15%,14%,14%,15%,16%
Other Income +,12,31,30,8,67,87,51,12,-34,41,32,70,-57
Interest,263,292,338,339,398,437,483,494,511,503,509,536,551
Depreciation,207,199,212,216,232,227,237,242,263,246,259,258,292
Profit before tax,368,436,550,464,486,627,676,750,647,739,888,908,"1,004"
Tax %,25%,32%,32%,35%,31%,30%,38%,32%,36%,34%,34%,33%,31%
Net Profit +,275,297,373,304,336,441,416,510,412,485,588,609,698
EPS in Rs,5.84,6.43,8.13,6.33,7.07,9.14,8.13,10.08,8.15,9.70,11.80,11.91,13.64
Raw PDF,,,,,,,,,,,,,
