,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,325,344,393,392,480,386,392,296,401,254,294,390,500
Expenses +,220,245,282,281,363,285,285,216,308,201,214,266,356
Operating Profit,105,99,111,111,117,101,107,79,93,53,80,124,144
OPM %,32%,29%,28%,28%,24%,26%,27%,27%,23%,21%,27%,32%,29%
Other Income +,-7,-8,-10,-3,24,12,3,2,12,6,2,-4,6
Interest,14,12,16,14,20,18,20,25,26,22,27,32,31
Depreciation,15,16,18,18,19,19,20,20,21,21,22,29,31
Profit before tax,68,62,67,75,103,77,71,36,58,16,34,59,88
Tax %,33%,32%,29%,28%,29%,32%,31%,28%,30%,25%,10%,9%,29%
Net Profit +,46,42,48,54,73,52,49,26,40,12,31,54,63
EPS in Rs,4.60,3.96,4.15,4.00,5.28,3.59,3.78,1.68,2.82,0.36,1.52,2.56,4.05
Raw PDF,,,,,,,,,,,,,
