,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,947","2,988","3,138","3,432","3,243","3,223","3,214","3,534","3,670","3,784","4,019","4,098","4,023"
Expenses +,"1,228","1,388","1,236","1,356","1,309","1,270","1,331","1,375","1,619","1,482","1,575","1,676","1,581"
Operating Profit,"1,719","1,600","1,902","2,076","1,934","1,953","1,882","2,159","2,051","2,302","2,444","2,422","2,442"
OPM %,58%,54%,61%,60%,60%,61%,59%,61%,56%,61%,61%,59%,61%
Other Income +,172,187,165,-448,202,153,268,47,6,0,5,8,4
Interest,"1,392","1,413","1,438","1,501","1,445","1,364","1,325","1,353","1,335","1,351","1,476","1,569","1,600"
Depreciation,28,27,27,28,29,30,28,29,28,28,33,36,41
Profit before tax,470,346,601,99,662,714,797,824,694,922,940,824,806
Tax %,27%,25%,32%,-356%,37%,26%,25%,22%,20%,26%,26%,24%,21%
Net Profit +,341,261,406,453,417,531,594,639,553,685,697,626,636
EPS in Rs,1.38,1.06,1.64,1.83,2.02,2.14,2.40,2.57,2.23,2.75,2.79,2.51,2.55
Raw PDF,,,,,,,,,,,,,
