,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,296","1,166","1,304","1,158","1,145","1,075","1,020",966,"1,074","1,024","1,045","1,057","1,051"
Expenses +,"1,153","1,025","1,151","1,007","1,043",958,902,871,983,915,921,918,905
Operating Profit,142,141,153,151,102,117,118,96,91,110,124,138,147
OPM %,11%,12%,12%,13%,9%,11%,12%,10%,8%,11%,12%,13%,14%
Other Income +,9,10,7,7,9,8,9,9,10,10,10,9,8
Interest,6,4,5,7,6,11,13,15,14,14,15,12,14
Depreciation,31,31,31,30,30,32,34,34,36,39,40,40,39
Profit before tax,115,116,124,122,76,81,80,55,51,66,80,96,102
Tax %,40%,31%,32%,25%,31%,29%,28%,30%,43%,26%,26%,27%,27%
Net Profit +,69,79,84,92,52,58,57,39,29,49,59,69,74
EPS in Rs,4.31,4.98,5.29,5.75,3.28,3.62,3.61,2.42,1.84,3.06,3.70,4.36,4.65
Raw PDF,,,,,,,,,,,,,
