TICKER,EXPIRY,CALL TYPE,STRIKE_PRICE,PREVIOUS_PRICE
ANGELONE,26-Jun-25,CE,2700,308.7
ANGELONE,26-Jun-25,CE,3050,114.65
ANGELONE,26-Jun-25,CE,3100,96.95
ANGELONE,26-Jun-25,CE,3200,67.35
ANGELONE,26-Jun-25,CE,2400,596.8
ANGELONE,26-Jun-25,CE,2800,236.4
ANGELONE,26-Jun-25,CE,3300,46.45
ANGELONE,26-Jun-25,CE,3400,32.55
ANGELONE,26-Jun-25,CE,3000,133.85
ANGELONE,26-Jun-25,CE,3150,81.55
ANGELONE,26-Jun-25,CE,3250,56.8
ANGELONE,26-Jun-25,CE,2500,495.0
ANGELONE,26-Jun-25,CE,2950,155.15
ANGELONE,26-Jun-25,CE,2600,407.45
ANGELONE,26-Jun-25,CE,3450,78.7
ANGELONE,26-Jun-25,CE,2850,212.95
ANGELONE,26-Jun-25,CE,2900,180.75
ASIANPAINT,26-Jun-25,CE,2540,4.6
ASIANPAINT,26-Jun-25,CE,2340,37.5
ASIANPAINT,26-Jun-25,CE,2300,54.8
ASIANPAINT,26-Jun-25,CE,2240,89.1
ASIANPAINT,26-Jun-25,CE,2440,12.7
ASIANPAINT,26-Jun-25,CE,2560,3.75
ASIANPAINT,26-Jun-25,CE,2320,45.5
ASIANPAINT,26-Jun-25,CE,2520,5.9
ASIANPAINT,26-Jun-25,CE,2580,2.95
ASIANPAINT,26-Jun-25,CE,2220,103.15
ASIANPAINT,26-Jun-25,CE,2640,2.8
ASIANPAINT,26-Jun-25,CE,2400,20.1
ASIANPAINT,26-Jun-25,CE,2420,16.1
ASIANPAINT,26-Jun-25,CE,2280,65.25
ASIANPAINT,26-Jun-25,CE,2480,8.6
ASIANPAINT,26-Jun-25,CE,2680,1.35
ASIANPAINT,26-Jun-25,CE,2100,202.0
ASIANPAINT,26-Jun-25,CE,2460,10.5
ASIANPAINT,26-Jun-25,CE,2720,1.45
ASIANPAINT,26-Jun-25,CE,2380,24.9
ASIANPAINT,26-Jun-25,CE,2600,2.5
ASIANPAINT,26-Jun-25,CE,2200,117.35
ASIANPAINT,26-Jun-25,CE,2260,77.1
ASIANPAINT,26-Jun-25,CE,2360,30.8
ASIANPAINT,26-Jun-25,CE,2500,7.05
CANBK,26-Jun-25,CE,118,1.6
CANBK,26-Jun-25,CE,108,5.8
CANBK,26-Jun-25,CE,98,13.1
CANBK,26-Jun-25,CE,101,10.7
CANBK,26-Jun-25,CE,120,1.25
CANBK,26-Jun-25,CE,109,5.2
CANBK,26-Jun-25,CE,110,4.6
CANBK,26-Jun-25,CE,100,12.1
CANBK,26-Jun-25,CE,106,7.2
CANBK,26-Jun-25,CE,114,2.75
CANBK,26-Jun-25,CE,104,8.4
CANBK,26-Jun-25,CE,107,6.5
CANBK,26-Jun-25,CE,115,2.45
CANBK,26-Jun-25,CE,113,3.15
CANBK,26-Jun-25,CE,97,14.75
CANBK,26-Jun-25,CE,116,2.1
CANBK,26-Jun-25,CE,112,3.6
CANBK,26-Jun-25,CE,111,4.05
CANBK,26-Jun-25,CE,95,16.65
CANBK,26-Jun-25,CE,105,7.85
CANBK,26-Jun-25,CE,103,9.3
CANBK,26-Jun-25,CE,90,21.4
HDFCBANK,26-Jun-25,CE,1700,239.5
HDFCBANK,26-Jun-25,CE,1840,109.85
HDFCBANK,26-Jun-25,CE,1960,31.2
HDFCBANK,26-Jun-25,CE,2120,2.6
HDFCBANK,26-Jun-25,CE,2200,1.2
HDFCBANK,26-Jun-25,CE,2060,6.9
HDFCBANK,26-Jun-25,CE,1880,77.2
HDFCBANK,26-Jun-25,CE,2080,5.0
HDFCBANK,26-Jun-25,CE,2000,17.8
HDFCBANK,26-Jun-25,CE,2100,3.8
HDFCBANK,26-Jun-25,CE,1760,177.75
HDFCBANK,26-Jun-25,CE,1940,40.1
HDFCBANK,26-Jun-25,CE,1640,294.3
HDFCBANK,26-Jun-25,CE,1780,160.0
HDFCBANK,26-Jun-25,CE,1820,124.25
HDFCBANK,26-Jun-25,CE,1900,64.35
HDFCBANK,26-Jun-25,CE,2020,13.1
HDFCBANK,26-Jun-25,CE,2160,1.6
HDFCBANK,26-Jun-25,CE,1800,141.7
HDFCBANK,26-Jun-25,CE,1980,23.65
HDFCBANK,26-Jun-25,CE,2040,9.4
HDFCBANK,26-Jun-25,CE,2140,2.1
HDFCBANK,26-Jun-25,CE,1860,91.55
HDFCBANK,26-Jun-25,CE,1920,51.3
INFY,26-Jun-25,CE,1620,20.0
INFY,26-Jun-25,CE,1640,14.9
INFY,26-Jun-25,CE,1760,2.45
INFY,26-Jun-25,CE,1520,66.25
INFY,26-Jun-25,CE,1580,34.5
INFY,26-Jun-25,CE,1740,3.15
INFY,26-Jun-25,CE,1500,79.95
INFY,26-Jun-25,CE,1540,54.35
INFY,26-Jun-25,CE,1400,162.5
INFY,26-Jun-25,CE,1800,1.55
INFY,26-Jun-25,CE,1700,6.0
INFY,26-Jun-25,CE,1680,8.1
INFY,26-Jun-25,CE,1480,93.7
INFY,26-Jun-25,CE,1840,1.25
INFY,26-Jun-25,CE,1320,246.0
INFY,26-Jun-25,CE,1600,26.4
INFY,26-Jun-25,CE,1660,11.1
INFY,26-Jun-25,CE,1880,0.85
INFY,26-Jun-25,CE,1720,4.4
INFY,26-Jun-25,CE,1240,322.0
INFY,26-Jun-25,CE,1560,43.7
IOC,26-Jun-25,CE,150,2.4
IOC,26-Jun-25,CE,149,2.65
IOC,26-Jun-25,CE,120,24.5
IOC,26-Jun-25,CE,139,7.75
IOC,26-Jun-25,CE,145,4.4
IOC,26-Jun-25,CE,148,3.1
IOC,26-Jun-25,CE,151,2.1
IOC,26-Jun-25,CE,166,0.3
IOC,26-Jun-25,CE,164,0.35
IOC,26-Jun-25,CE,160,0.65
IOC,26-Jun-25,CE,154,1.4
IOC,26-Jun-25,CE,155,1.2
IOC,26-Jun-25,CE,146,3.9
IOC,26-Jun-25,CE,158,0.8
IOC,26-Jun-25,CE,162,0.45
IOC,26-Jun-25,CE,130,15.5
IOC,26-Jun-25,CE,161,0.55
IOC,26-Jun-25,CE,147,3.5
IOC,26-Jun-25,CE,140,7.35
IOC,26-Jun-25,CE,138,8.75
IOC,26-Jun-25,CE,142,6.1
IOC,26-Jun-25,CE,135,10.95
IOC,26-Jun-25,CE,152,1.85
IOC,26-Jun-25,CE,144,4.9
IOC,26-Jun-25,CE,141,6.2
IOC,26-Jun-25,CE,153,1.55
IOC,26-Jun-25,CE,143,5.55
IRB,26-Jun-25,CE,52,2.45
IRB,26-Jun-25,CE,48,4.8
IRB,26-Jun-25,CE,55,1.35
IRB,26-Jun-25,CE,56,1.05
IRB,26-Jun-25,CE,54,1.65
IRB,26-Jun-25,CE,58,0.65
IRB,26-Jun-25,CE,45,7.4
IRB,26-Jun-25,CE,50,3.5
IRB,26-Jun-25,CE,51,3.0
IRB,26-Jun-25,CE,53,2.05
KALYANKJIL,26-Jun-25,CE,530,50.0
KALYANKJIL,26-Jun-25,CE,610,11.2
KALYANKJIL,26-Jun-25,CE,500,77.1
KALYANKJIL,26-Jun-25,CE,560,30.75
KALYANKJIL,26-Jun-25,CE,580,21.4
KALYANKJIL,26-Jun-25,CE,540,41.5
KALYANKJIL,26-Jun-25,CE,590,17.1
KALYANKJIL,26-Jun-25,CE,620,9.1
KALYANKJIL,26-Jun-25,CE,600,14.1
KALYANKJIL,26-Jun-25,CE,570,25.6
KALYANKJIL,26-Jun-25,CE,550,37.0
LICI,26-Jun-25,CE,1030,8.7
LICI,26-Jun-25,CE,910,55.05
LICI,26-Jun-25,CE,950,32.25
LICI,26-Jun-25,CE,970,23.45
LICI,26-Jun-25,CE,920,48.55
LICI,26-Jun-25,CE,840,109.3
LICI,26-Jun-25,CE,830,101.0
LICI,26-Jun-25,CE,800,146.75
LICI,26-Jun-25,CE,940,37.15
LICI,26-Jun-25,CE,1020,10.9
LICI,26-Jun-25,CE,770,171.0
LICI,26-Jun-25,CE,820,123.0
LICI,26-Jun-25,CE,1010,14.5
LICI,26-Jun-25,CE,850,102.3
LICI,26-Jun-25,CE,900,61.7
LICI,26-Jun-25,CE,980,20.3
LICI,26-Jun-25,CE,960,27.9
LICI,26-Jun-25,CE,930,42.65
LICI,26-Jun-25,CE,870,86.8
LICI,26-Jun-25,CE,1000,15.0
LICI,26-Jun-25,CE,1040,7.4
LICI,26-Jun-25,CE,990,17.65
LICI,26-Jun-25,CE,860,94.2
LICI,26-Jun-25,CE,890,69.5
LICI,26-Jun-25,CE,880,76.65
LODHA,26-Jun-25,CE,1500,57.0
LODHA,26-Jun-25,CE,1440,80.5
LODHA,26-Jun-25,CE,1540,41.25
LODHA,26-Jun-25,CE,1260,214.0
LODHA,26-Jun-25,CE,1460,74.55
LODHA,26-Jun-25,CE,1600,26.25
LODHA,26-Jun-25,CE,1480,65.35
LODHA,26-Jun-25,CE,1520,48.55
LODHA,26-Jun-25,CE,1240,228.0
