,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,71.31%
FIIs +,3.37%,4.93%,4.71%,4.81%,3.48%,4.96%
DIIs +,11.63%,1.60%,1.50%,7.88%,9.70%,12.34%
Public +,10.00%,18.47%,18.79%,12.31%,11.81%,11.39%
No. of Shareholders,"54,689","53,701","69,646","64,144","62,489","90,724"
