,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Cash from Operating Activity +,188,158,291,350,404
Cash from Investing Activity +,-35,4,20,19,29
Cash from Financing Activity +,-121,-136,-278,-263,-339
Net Cash Flow,32,26,33,105,94
