,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,87.75%,87.75%,87.75%,74.93%,74.93%,74.93%,74.93%,74.93%
FIIs +,0.00%,0.90%,0.04%,0.28%,2.11%,2.83%,2.95%,3.25%
DIIs +,6.74%,6.63%,7.47%,17.52%,16.38%,14.10%,12.39%,9.45%
Public +,5.51%,4.72%,4.74%,7.27%,6.59%,8.15%,9.72%,12.35%
No. of Shareholders,"1,56,004","1,18,358","1,07,828","1,31,209","1,12,648","1,66,501","2,48,158","5,67,591"
