,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,27,23,2,3,3,3,3,7,11,9,8,11
Inventory Days,41,41,33,33,31,46,42,62,69,57,57,55
Days Payable,94,96,77,75,92,89,74,108,110,80,85,90
Cash Conversion Cycle,-25,-31,-42,-40,-58,-40,-28,-39,-29,-14,-19,-24
Working Capital Days,-27,-33,-45,-49,-58,-35,-37,-23,-12,-10,8,50
ROCE %,22%,28%,51%,53%,49%,41%,25%,17%,18%,27%,31%,30%
