,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Cash from Operating Activity +,-665,"-1,125","-1,719",884
Cash from Investing Activity +,593,3,39,"-1,800"
Cash from Financing Activity +,-148,"1,153","1,958","1,022"
Net Cash Flow,-220,31,278,106
