,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,89.77%,88.81%,78.88%,74.62%,74.24%,73.90%,73.85%,73.74%,73.66%
FIIs +,3.54%,2.95%,5.09%,8.37%,9.06%,7.14%,6.69%,5.52%,5.18%
DIIs +,1.08%,0.78%,4.43%,4.88%,6.36%,5.20%,8.41%,12.09%,13.67%
Public +,5.61%,7.47%,11.60%,12.13%,10.34%,13.76%,11.06%,8.65%,7.47%
No. of Shareholders,"1,02,646","78,346","92,243","95,537","1,14,727","2,22,196","2,97,569","2,43,374","2,19,573"
