,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,61.65%,53.51%,53.51%,53.51%,69.85%,67.49%,68.99%,68.99%,50.00%
FIIs +,34.34%,42.96%,43.90%,42.03%,27.08%,28.23%,26.62%,16.40%,26.42%
DIIs +,1.71%,2.28%,1.58%,3.58%,2.43%,2.93%,2.47%,9.90%,18.41%
Public +,2.26%,1.20%,0.97%,0.83%,0.64%,1.33%,1.89%,4.68%,5.12%
Others +,0.05%,0.04%,0.03%,0.04%,0.01%,0.02%,0.03%,0.04%,0.03%
No. of Shareholders,"39,145","34,776","34,789","51,099","81,890","1,97,782","2,58,997","3,10,694","4,21,427"
