,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,52.43%,52.28%,52.22%,52.16%
FIIs +,5.98%,12.26%,10.32%,8.83%
DIIs +,3.12%,7.86%,17.16%,25.20%
Public +,38.47%,27.62%,20.31%,13.81%
No. of Shareholders,"3,24,164","5,77,953","5,20,788","4,72,462"
