,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"3,782","3,903","3,176","6,972","-1,614","2,091","12,728","21,218","24,151"
Cash from Investing Activity +,"-3,033","-4,151","-2,526","-4,574","3,179","1,504","-4,043","-11,812","-12,759"
Cash from Financing Activity +,"-1,401",766,-592,"-2,407","-1,775","-3,088","-8,432","-9,979","-11,015"
Net Cash Flow,-652,518,58,-9,-210,506,253,-573,377
