,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,59,88,88,132,140,210,316,316,316,452,678,678,704
Reserves,"2,230","2,871","3,236","4,265","8,132","9,674","10,647","10,945","12,245","20,136","21,774","25,477","31,930"
Borrowings +,"4,904","4,840","5,131","6,069","10,349","10,374","11,534","13,136","11,930","14,130","13,792","19,922","25,417"
Other Liabilities +,"5,546","7,445","8,971","9,199","13,322","16,716","20,257","20,636","23,258","21,008","25,086","38,101","39,828"
Total Liabilities,"12,739","15,244","17,425","19,665","31,944","36,974","42,754","45,033","47,749","55,726","61,330","84,178","97,879"
Fixed Assets +,"5,277","5,919","6,129","7,147","12,193","14,712","18,423","20,750","20,099","21,411","23,147","30,122","32,455"
CWIP,386,647,956,"1,397","1,935","2,585","1,067",852,877,"1,310","1,478","2,498","2,693"
Investments,72,75,65,590,474,792,855,796,846,"6,462","6,290","6,521","6,615"
Other Assets +,"7,005","8,603","10,276","10,531","17,343","18,885","22,409","22,635","25,926","26,543","30,415","45,037","56,115"
Total Assets,"12,739","15,244","17,425","19,665","31,944","36,974","42,754","45,033","47,749","55,726","61,330","84,178","97,879"
