,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,71.25%,71.25%,71.25%,71.25%,71.25%,71.25%,71.25%,71.25%,68.31%
FIIs +,9.67%,8.40%,8.63%,9.82%,11.37%,10.88%,12.04%,14.14%,16.31%
DIIs +,7.93%,10.23%,10.51%,10.86%,8.35%,9.74%,8.89%,7.15%,8.25%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.10%,0.10%
Public +,11.16%,10.12%,9.61%,8.08%,9.03%,8.14%,7.71%,7.34%,7.02%
No. of Shareholders,"50,935","38,413","37,113","36,471","72,616","63,229","63,831","71,154","86,005"
