,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,26,22,12,17,31,30
Inventory Days,54,83,85,192,108,93
Days Payable,67,99,83,143,84,78
Cash Conversion Cycle,13,6,14,66,55,45
Working Capital Days,14,13,-67,-58,-33,-54
ROCE %,,16%,21%,52%,44%,35%
