,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,47,47,47,47,93,93,93,93,93,93,93,96
Reserves,"2,637","3,398","3,367","4,070","4,559","5,283","5,127","5,322","6,478","6,612","7,077","9,158"
Borrowings +,"2,561","2,546","3,375","3,124","3,257","4,029","4,469","5,271","5,972","7,313","7,948","6,698"
Other Liabilities +,"2,290","2,245","1,504","1,600","2,068","2,173","1,793","2,402","2,950","4,216","4,066","4,137"
Total Liabilities,"7,534","8,236","8,292","8,841","9,977","11,578","11,482","13,088","15,492","18,235","19,184","20,088"
Fixed Assets +,"2,534","2,629","3,134","3,277","3,500","3,625","4,002","4,750","4,870","6,161","6,309","6,633"
CWIP,583,870,409,453,344,831,"1,143",900,"1,125",701,991,"1,725"
Investments,801,496,886,"1,192","1,501","1,524","1,618","2,607","2,604","2,569","1,849","2,063"
Other Assets +,"3,617","4,242","3,863","3,919","4,632","5,599","4,720","4,831","6,893","8,804","10,034","9,667"
Total Assets,"7,534","8,236","8,292","8,841","9,977","11,578","11,482","13,088","15,492","18,235","19,184","20,088"
