,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,74.02%,71.08%,70.79%,70.79%,70.87%,67.47%,70.05%,68.76%,68.75%
FIIs +,3.91%,9.48%,10.95%,10.91%,9.60%,9.77%,6.30%,7.57%,10.09%
DIIs +,3.00%,6.03%,4.54%,6.64%,10.49%,13.21%,16.96%,17.16%,15.20%
Public +,19.07%,13.41%,13.72%,11.66%,9.03%,9.55%,6.70%,6.52%,5.96%
No. of Shareholders,"14,819","32,719","50,383","48,473","55,001","1,08,913","1,25,691","1,68,372","2,02,181"
